Time [s],Channel 0
2025-04-05T16:15:34.773598200+00:00,1
2025-04-05T16:15:36.537042450+00:00,0
2025-04-05T16:15:36.540477408+00:00,1
2025-04-05T16:15:36.542270117+00:00,0
2025-04-05T16:15:36.542654575+00:00,1
2025-04-05T16:15:36.543138908+00:00,0
2025-04-05T16:15:36.543523075+00:00,1
2025-04-05T16:15:36.544007533+00:00,0
2025-04-05T16:15:36.544391617+00:00,1
2025-04-05T16:15:36.545747367+00:00,0
2025-04-05T16:15:36.546132575+00:00,1
2025-04-05T16:15:36.547488867+00:00,0
2025-04-05T16:15:36.547873575+00:00,1
2025-04-05T16:15:36.548357408+00:00,0
2025-04-05T16:15:36.548742325+00:00,1
2025-04-05T16:15:36.550097783+00:00,0
2025-04-05T16:15:36.550483450+00:00,1
2025-04-05T16:15:36.550967492+00:00,0
2025-04-05T16:15:36.551351950+00:00,1
2025-04-05T16:15:36.551836075+00:00,0
2025-04-05T16:15:36.552220367+00:00,1
2025-04-05T16:15:36.552704200+00:00,0
2025-04-05T16:15:36.553088992+00:00,1
2025-04-05T16:15:36.554444450+00:00,0
2025-04-05T16:15:36.554830158+00:00,1
2025-04-05T16:15:36.555313908+00:00,0
2025-04-05T16:15:36.555698742+00:00,1
2025-04-05T16:15:36.556182950+00:00,0
2025-04-05T16:15:36.556567367+00:00,1
2025-04-05T16:15:36.557923033+00:00,0
2025-04-05T16:15:36.558308283+00:00,1
2025-04-05T16:15:36.558791950+00:00,0
2025-04-05T16:15:36.559176825+00:00,1
2025-04-05T16:15:36.560533492+00:00,0
2025-04-05T16:15:36.560917908+00:00,1
2025-04-05T16:15:36.561401992+00:00,0
2025-04-05T16:15:36.561786408+00:00,1
2025-04-05T16:15:36.563141908+00:00,0
2025-04-05T16:15:36.563527200+00:00,1
2025-04-05T16:15:36.564011867+00:00,0
2025-04-05T16:15:36.564395617+00:00,1
2025-04-05T16:15:36.564879117+00:00,0
2025-04-05T16:15:36.565264200+00:00,1
2025-04-05T16:15:36.566620158+00:00,0
2025-04-05T16:15:36.567005408+00:00,1
2025-04-05T16:15:36.568360242+00:00,0
2025-04-05T16:15:36.568745950+00:00,1
2025-04-05T16:15:36.570101825+00:00,0
2025-04-05T16:15:36.570487158+00:00,1
2025-04-05T16:15:36.570970867+00:00,0
2025-04-05T16:15:36.571355575+00:00,1
2025-04-05T16:15:36.571839450+00:00,0
2025-04-05T16:15:36.572224033+00:00,1
2025-04-05T16:15:36.573579200+00:00,0
2025-04-05T16:15:36.573964700+00:00,1
2025-04-05T16:15:36.574447658+00:00,0
2025-04-05T16:15:36.574833242+00:00,1
2025-04-05T16:15:36.575316575+00:00,0
2025-04-05T16:15:36.575701617+00:00,1
2025-04-05T16:15:36.576184200+00:00,0
2025-04-05T16:15:36.576570075+00:00,1
2025-04-05T16:15:36.577054533+00:00,0
2025-04-05T16:15:36.577438908+00:00,1
2025-04-05T16:15:36.578794367+00:00,0
2025-04-05T16:15:36.579179867+00:00,1
2025-04-05T16:15:36.579663783+00:00,0
2025-04-05T16:15:36.580048283+00:00,1
2025-04-05T16:15:36.581403617+00:00,0
2025-04-05T16:15:36.581789158+00:00,1
2025-04-05T16:15:36.582272450+00:00,0
2025-04-05T16:15:36.582657742+00:00,1
2025-04-05T16:15:36.583142075+00:00,0
2025-04-05T16:15:36.583526283+00:00,1
2025-04-05T16:15:36.584011200+00:00,0
2025-04-05T16:15:36.584394992+00:00,1
2025-04-05T16:15:36.585750825+00:00,0
2025-04-05T16:15:36.586135867+00:00,1
2025-04-05T16:15:36.587491575+00:00,0
2025-04-05T16:15:36.587877117+00:00,1
2025-04-05T16:15:36.588361533+00:00,0
2025-04-05T16:15:36.588745700+00:00,1
2025-04-05T16:15:36.589230075+00:00,0
2025-04-05T16:15:36.589614283+00:00,1
2025-04-05T16:15:36.590970325+00:00,0
2025-04-05T16:15:36.591354950+00:00,1
2025-04-05T16:15:36.666366367+00:00,0
2025-04-05T16:15:36.669801908+00:00,1
2025-04-05T16:15:36.671593450+00:00,0
2025-04-05T16:15:36.671978742+00:00,1
2025-04-05T16:15:36.672462867+00:00,0
2025-04-05T16:15:36.672846950+00:00,1
2025-04-05T16:15:36.673332450+00:00,0
2025-04-05T16:15:36.673715658+00:00,1
2025-04-05T16:15:36.675072075+00:00,0
2025-04-05T16:15:36.675456283+00:00,1
2025-04-05T16:15:36.676812575+00:00,0
2025-04-05T16:15:36.677197283+00:00,1
2025-04-05T16:15:36.677680700+00:00,0
2025-04-05T16:15:36.678065908+00:00,1
2025-04-05T16:15:36.679422867+00:00,0
2025-04-05T16:15:36.679806783+00:00,1
2025-04-05T16:15:36.680290742+00:00,0
2025-04-05T16:15:36.680675283+00:00,1
2025-04-05T16:15:36.681159700+00:00,0
2025-04-05T16:15:36.681543783+00:00,1
2025-04-05T16:15:36.682029408+00:00,0
2025-04-05T16:15:36.682412325+00:00,1
2025-04-05T16:15:36.683770783+00:00,0
2025-04-05T16:15:36.684153533+00:00,1
2025-04-05T16:15:36.684637825+00:00,0
2025-04-05T16:15:36.685021825+00:00,1
2025-04-05T16:15:36.685505950+00:00,0
2025-04-05T16:15:36.685890200+00:00,1
2025-04-05T16:15:36.687247200+00:00,0
2025-04-05T16:15:36.687631617+00:00,1
2025-04-05T16:15:36.688116325+00:00,0
2025-04-05T16:15:36.688500075+00:00,1
2025-04-05T16:15:36.689855783+00:00,0
2025-04-05T16:15:36.690240617+00:00,1
2025-04-05T16:15:36.690724867+00:00,0
2025-04-05T16:15:36.691108908+00:00,1
2025-04-05T16:15:36.692464867+00:00,0
2025-04-05T16:15:36.692849867+00:00,1
2025-04-05T16:15:36.693334242+00:00,0
2025-04-05T16:15:36.693718242+00:00,1
2025-04-05T16:15:36.694202158+00:00,0
2025-04-05T16:15:36.694586658+00:00,1
2025-04-05T16:15:36.695942033+00:00,0
2025-04-05T16:15:36.696327617+00:00,1
2025-04-05T16:15:36.697683075+00:00,0
2025-04-05T16:15:36.698068742+00:00,1
2025-04-05T16:15:36.699424700+00:00,0
2025-04-05T16:15:36.699809408+00:00,1
2025-04-05T16:15:36.700294700+00:00,0
2025-04-05T16:15:36.700677992+00:00,1
2025-04-05T16:15:36.701161450+00:00,0
2025-04-05T16:15:36.701546200+00:00,1
2025-04-05T16:15:36.702902325+00:00,0
2025-04-05T16:15:36.703286992+00:00,1
2025-04-05T16:15:36.703772783+00:00,0
2025-04-05T16:15:36.704155700+00:00,1
2025-04-05T16:15:36.704639617+00:00,0
2025-04-05T16:15:36.705024283+00:00,1
2025-04-05T16:15:36.705507992+00:00,0
2025-04-05T16:15:36.705892825+00:00,1
2025-04-05T16:15:36.706376617+00:00,0
2025-04-05T16:15:36.706761158+00:00,1
2025-04-05T16:15:36.708117075+00:00,0
2025-04-05T16:15:36.708502242+00:00,1
2025-04-05T16:15:36.708986658+00:00,0
2025-04-05T16:15:36.709370825+00:00,1
2025-04-05T16:15:36.710726117+00:00,0
2025-04-05T16:15:36.711111825+00:00,1
2025-04-05T16:15:36.711596825+00:00,0
2025-04-05T16:15:36.711980492+00:00,1
2025-04-05T16:15:36.712465200+00:00,0
2025-04-05T16:15:36.712848867+00:00,1
2025-04-05T16:15:36.713332700+00:00,0
2025-04-05T16:15:36.713717242+00:00,1
2025-04-05T16:15:36.715074075+00:00,0
2025-04-05T16:15:36.715458367+00:00,1
2025-04-05T16:15:36.716814783+00:00,0
2025-04-05T16:15:36.717199283+00:00,1
2025-04-05T16:15:36.717684158+00:00,0
2025-04-05T16:15:36.718067825+00:00,1
2025-04-05T16:15:36.718551617+00:00,0
2025-04-05T16:15:36.718936325+00:00,1
2025-04-05T16:15:36.720291658+00:00,0
2025-04-05T16:15:36.720677283+00:00,1
2025-04-05T16:15:36.795685783+00:00,0
2025-04-05T16:15:36.799120908+00:00,1
2025-04-05T16:15:36.800913658+00:00,0
2025-04-05T16:15:36.801297825+00:00,1
2025-04-05T16:15:36.801781908+00:00,0
2025-04-05T16:15:36.802166200+00:00,1
2025-04-05T16:15:36.802650283+00:00,0
2025-04-05T16:15:36.803034700+00:00,1
2025-04-05T16:15:36.804389950+00:00,0
2025-04-05T16:15:36.804775450+00:00,1
2025-04-05T16:15:36.806130867+00:00,0
2025-04-05T16:15:36.806516200+00:00,1
2025-04-05T16:15:36.807000242+00:00,0
2025-04-05T16:15:36.807384325+00:00,1
2025-04-05T16:15:36.808741158+00:00,0
2025-04-05T16:15:36.809148325+00:00,1
2025-04-05T16:15:36.809609700+00:00,0
2025-04-05T16:15:36.809993658+00:00,1
2025-04-05T16:15:36.810479117+00:00,0
2025-04-05T16:15:36.810885283+00:00,1
2025-04-05T16:15:36.811346075+00:00,0
2025-04-05T16:15:36.811730367+00:00,1
2025-04-05T16:15:36.813085617+00:00,0
2025-04-05T16:15:36.813494117+00:00,1
2025-04-05T16:15:36.813955575+00:00,0
2025-04-05T16:15:36.814362908+00:00,1
2025-04-05T16:15:36.814823908+00:00,0
2025-04-05T16:15:36.815231033+00:00,1
2025-04-05T16:15:36.816564158+00:00,0
2025-04-05T16:15:36.816971867+00:00,1
2025-04-05T16:15:36.817432367+00:00,0
2025-04-05T16:15:36.817840367+00:00,1
2025-04-05T16:15:36.819173158+00:00,0
2025-04-05T16:15:36.819581283+00:00,1
2025-04-05T16:15:36.820042033+00:00,0
2025-04-05T16:15:36.820449575+00:00,1
2025-04-05T16:15:36.821783200+00:00,0
2025-04-05T16:15:36.822190492+00:00,1
2025-04-05T16:15:36.822651200+00:00,0
2025-04-05T16:15:36.823059325+00:00,1
2025-04-05T16:15:36.823520575+00:00,0
2025-04-05T16:15:36.823927325+00:00,1
2025-04-05T16:15:36.825260033+00:00,0
2025-04-05T16:15:36.825668575+00:00,1
2025-04-05T16:15:36.827000825+00:00,0
2025-04-05T16:15:36.827409867+00:00,1
2025-04-05T16:15:36.828742200+00:00,0
2025-04-05T16:15:36.829151033+00:00,1
2025-04-05T16:15:36.829610075+00:00,0
2025-04-05T16:15:36.830019117+00:00,1
2025-04-05T16:15:36.830479242+00:00,0
2025-04-05T16:15:36.830887783+00:00,1
2025-04-05T16:15:36.832220158+00:00,0
2025-04-05T16:15:36.832628658+00:00,1
2025-04-05T16:15:36.833089700+00:00,0
2025-04-05T16:15:36.833496992+00:00,1
2025-04-05T16:15:36.833956617+00:00,0
2025-04-05T16:15:36.834365950+00:00,1
2025-04-05T16:15:36.834825950+00:00,0
2025-04-05T16:15:36.835233950+00:00,1
2025-04-05T16:15:36.835693867+00:00,0
2025-04-05T16:15:36.836102533+00:00,1
2025-04-05T16:15:36.837434783+00:00,0
2025-04-05T16:15:36.837843533+00:00,1
2025-04-05T16:15:36.838304200+00:00,0
2025-04-05T16:15:36.838712200+00:00,1
2025-04-05T16:15:36.840044867+00:00,0
2025-04-05T16:15:36.840452742+00:00,1
2025-04-05T16:15:36.840912325+00:00,0
2025-04-05T16:15:36.841321450+00:00,1
2025-04-05T16:15:36.841782200+00:00,0
2025-04-05T16:15:36.842190033+00:00,1
2025-04-05T16:15:36.842650783+00:00,0
2025-04-05T16:15:36.843058325+00:00,1
2025-04-05T16:15:36.844390825+00:00,0
2025-04-05T16:15:36.844799367+00:00,1
2025-04-05T16:15:36.846131242+00:00,0
2025-04-05T16:15:36.846540158+00:00,1
2025-04-05T16:15:36.847000283+00:00,0
2025-04-05T16:15:36.847408617+00:00,1
2025-04-05T16:15:36.847869158+00:00,0
2025-04-05T16:15:36.848277117+00:00,1
2025-04-05T16:15:36.849609033+00:00,0
2025-04-05T16:15:36.850017950+00:00,1
2025-04-05T16:15:36.925002325+00:00,0
2025-04-05T16:15:36.928461450+00:00,1
2025-04-05T16:15:36.930230158+00:00,0
2025-04-05T16:15:36.930638742+00:00,1
2025-04-05T16:15:36.931098867+00:00,0
2025-04-05T16:15:36.931507658+00:00,1
2025-04-05T16:15:36.931966867+00:00,0
2025-04-05T16:15:36.932375783+00:00,1
2025-04-05T16:15:36.933708325+00:00,0
2025-04-05T16:15:36.934116742+00:00,1
2025-04-05T16:15:36.935448617+00:00,0
2025-04-05T16:15:36.935857492+00:00,1
2025-04-05T16:15:36.936318950+00:00,0
2025-04-05T16:15:36.936726075+00:00,1
2025-04-05T16:15:36.938059283+00:00,0
2025-04-05T16:15:36.938467117+00:00,1
2025-04-05T16:15:36.938928283+00:00,0
2025-04-05T16:15:36.939335117+00:00,1
2025-04-05T16:15:36.939795867+00:00,0
2025-04-05T16:15:36.940203492+00:00,1
2025-04-05T16:15:36.940665033+00:00,0
2025-04-05T16:15:36.941072200+00:00,1
2025-04-05T16:15:36.942405117+00:00,0
2025-04-05T16:15:36.942812867+00:00,1
2025-04-05T16:15:36.943274533+00:00,0
2025-04-05T16:15:36.943681200+00:00,1
2025-04-05T16:15:36.944141117+00:00,0
2025-04-05T16:15:36.944549950+00:00,1
2025-04-05T16:15:36.945883450+00:00,0
2025-04-05T16:15:36.946290825+00:00,1
2025-04-05T16:15:36.946751950+00:00,0
2025-04-05T16:15:36.947159075+00:00,1
2025-04-05T16:15:36.948492325+00:00,0
2025-04-05T16:15:36.948900450+00:00,1
2025-04-05T16:15:36.949360992+00:00,0
2025-04-05T16:15:36.949768700+00:00,1
2025-04-05T16:15:36.951102242+00:00,0
2025-04-05T16:15:36.951509325+00:00,1
2025-04-05T16:15:36.951971825+00:00,0
2025-04-05T16:15:36.952377825+00:00,1
2025-04-05T16:15:36.952838242+00:00,0
2025-04-05T16:15:36.953246075+00:00,1
2025-04-05T16:15:36.954579242+00:00,0
2025-04-05T16:15:36.954987992+00:00,1
2025-04-05T16:15:36.956320450+00:00,0
2025-04-05T16:15:36.956728950+00:00,1
2025-04-05T16:15:36.958060742+00:00,0
2025-04-05T16:15:36.958469658+00:00,1
2025-04-05T16:15:36.958931033+00:00,0
2025-04-05T16:15:36.959314867+00:00,1
2025-04-05T16:15:36.959799617+00:00,0
2025-04-05T16:15:36.960206492+00:00,1
2025-04-05T16:15:36.961538617+00:00,0
2025-04-05T16:15:36.961947575+00:00,1
2025-04-05T16:15:36.962408742+00:00,0
2025-04-05T16:15:36.962815867+00:00,1
2025-04-05T16:15:36.963276700+00:00,0
2025-04-05T16:15:36.963660867+00:00,1
2025-04-05T16:15:36.964145950+00:00,0
2025-04-05T16:15:36.964552575+00:00,1
2025-04-05T16:15:36.965013408+00:00,0
2025-04-05T16:15:36.965421117+00:00,1
2025-04-05T16:15:36.966754700+00:00,0
2025-04-05T16:15:36.967138658+00:00,1
2025-04-05T16:15:36.967622033+00:00,0
2025-04-05T16:15:36.968030158+00:00,1
2025-04-05T16:15:36.969363700+00:00,0
2025-04-05T16:15:36.969771033+00:00,1
2025-04-05T16:15:36.970233158+00:00,0
2025-04-05T16:15:36.970639867+00:00,1
2025-04-05T16:15:36.971101658+00:00,0
2025-04-05T16:15:36.971485158+00:00,1
2025-04-05T16:15:36.971969742+00:00,0
2025-04-05T16:15:36.972376992+00:00,1
2025-04-05T16:15:36.973708700+00:00,0
2025-04-05T16:15:36.974094492+00:00,1
2025-04-05T16:15:36.975450825+00:00,0
2025-04-05T16:15:36.975858867+00:00,1
2025-04-05T16:15:36.976320325+00:00,0
2025-04-05T16:15:36.976704325+00:00,1
2025-04-05T16:15:36.977188658+00:00,0
2025-04-05T16:15:36.977595867+00:00,1
2025-04-05T16:15:36.978928783+00:00,0
2025-04-05T16:15:36.979313242+00:00,1
2025-04-05T16:15:37.054325200+00:00,0
2025-04-05T16:15:37.057759825+00:00,1
2025-04-05T16:15:37.059552700+00:00,0
2025-04-05T16:15:37.059937158+00:00,1
2025-04-05T16:15:37.060421950+00:00,0
2025-04-05T16:15:37.060805783+00:00,1
2025-04-05T16:15:37.061289825+00:00,0
2025-04-05T16:15:37.061674283+00:00,1
2025-04-05T16:15:37.063031283+00:00,0
2025-04-05T16:15:37.063415325+00:00,1
2025-04-05T16:15:37.064771200+00:00,0
2025-04-05T16:15:37.065156283+00:00,1
2025-04-05T16:15:37.065641742+00:00,0
2025-04-05T16:15:37.066024867+00:00,1
2025-04-05T16:15:37.067381783+00:00,0
2025-04-05T16:15:37.067766033+00:00,1
2025-04-05T16:15:37.068250742+00:00,0
2025-04-05T16:15:37.068634533+00:00,1
2025-04-05T16:15:37.069118783+00:00,0
2025-04-05T16:15:37.069503367+00:00,1
2025-04-05T16:15:37.069988117+00:00,0
2025-04-05T16:15:37.070372117+00:00,1
2025-04-05T16:15:37.071729492+00:00,0
2025-04-05T16:15:37.072113492+00:00,1
2025-04-05T16:15:37.072597408+00:00,0
2025-04-05T16:15:37.072981950+00:00,1
2025-04-05T16:15:37.073466367+00:00,0
2025-04-05T16:15:37.073850325+00:00,1
2025-04-05T16:15:37.075205533+00:00,0
2025-04-05T16:15:37.075591242+00:00,1
2025-04-05T16:15:37.076075992+00:00,0
2025-04-05T16:15:37.076460075+00:00,1
2025-04-05T16:15:37.077816658+00:00,0
2025-04-05T16:15:37.078201158+00:00,1
2025-04-05T16:15:37.078684783+00:00,0
2025-04-05T16:15:37.079069700+00:00,1
2025-04-05T16:15:37.080425533+00:00,0
2025-04-05T16:15:37.080810658+00:00,1
2025-04-05T16:15:37.081295533+00:00,0
2025-04-05T16:15:37.081702492+00:00,1
2025-04-05T16:15:37.082163825+00:00,0
2025-04-05T16:15:37.082548033+00:00,1
2025-04-05T16:15:37.083903533+00:00,0
2025-04-05T16:15:37.084289158+00:00,1
2025-04-05T16:15:37.085643742+00:00,0
2025-04-05T16:15:37.086029825+00:00,1
2025-04-05T16:15:37.087385283+00:00,0
2025-04-05T16:15:37.087770908+00:00,1
2025-04-05T16:15:37.088255492+00:00,0
2025-04-05T16:15:37.088639617+00:00,1
2025-04-05T16:15:37.089123575+00:00,0
2025-04-05T16:15:37.089508367+00:00,1
2025-04-05T16:15:37.090863908+00:00,0
2025-04-05T16:15:37.091249450+00:00,1
2025-04-05T16:15:37.091733158+00:00,0
2025-04-05T16:15:37.092117950+00:00,1
2025-04-05T16:15:37.092601200+00:00,0
2025-04-05T16:15:37.092986533+00:00,1
2025-04-05T16:15:37.093470492+00:00,0
2025-04-05T16:15:37.093854992+00:00,1
2025-04-05T16:15:37.094339075+00:00,0
2025-04-05T16:15:37.094723658+00:00,1
2025-04-05T16:15:37.096079325+00:00,0
2025-04-05T16:15:37.096464908+00:00,1
2025-04-05T16:15:37.096948033+00:00,0
2025-04-05T16:15:37.097333075+00:00,1
2025-04-05T16:15:37.098689158+00:00,0
2025-04-05T16:15:37.099074242+00:00,1
2025-04-05T16:15:37.099558158+00:00,0
2025-04-05T16:15:37.099942742+00:00,1
2025-04-05T16:15:37.100426200+00:00,0
2025-04-05T16:15:37.100811242+00:00,1
2025-04-05T16:15:37.101295117+00:00,0
2025-04-05T16:15:37.101679825+00:00,1
2025-04-05T16:15:37.103034825+00:00,0
2025-04-05T16:15:37.103420783+00:00,1
2025-04-05T16:15:37.104777033+00:00,0
2025-04-05T16:15:37.105161950+00:00,1
2025-04-05T16:15:37.105646283+00:00,0
2025-04-05T16:15:37.106030575+00:00,1
2025-04-05T16:15:37.106514325+00:00,0
2025-04-05T16:15:37.106899075+00:00,1
2025-04-05T16:15:37.108254492+00:00,0
2025-04-05T16:15:37.108639742+00:00,1
2025-04-05T16:15:37.183658533+00:00,0
2025-04-05T16:15:37.187093200+00:00,1
2025-04-05T16:15:37.188884575+00:00,0
2025-04-05T16:15:37.189269992+00:00,1
2025-04-05T16:15:37.189755242+00:00,0
2025-04-05T16:15:37.190138367+00:00,1
2025-04-05T16:15:37.190622742+00:00,0
2025-04-05T16:15:37.191006825+00:00,1
2025-04-05T16:15:37.192363158+00:00,0
2025-04-05T16:15:37.192747825+00:00,1
2025-04-05T16:15:37.194104117+00:00,0
2025-04-05T16:15:37.194488575+00:00,1
2025-04-05T16:15:37.194973783+00:00,0
2025-04-05T16:15:37.195357242+00:00,1
2025-04-05T16:15:37.196713575+00:00,0
2025-04-05T16:15:37.197097700+00:00,1
2025-04-05T16:15:37.197582367+00:00,0
2025-04-05T16:15:37.197966158+00:00,1
2025-04-05T16:15:37.198450033+00:00,0
2025-04-05T16:15:37.198834617+00:00,1
2025-04-05T16:15:37.199318658+00:00,0
2025-04-05T16:15:37.199703158+00:00,1
2025-04-05T16:15:37.201059075+00:00,0
2025-04-05T16:15:37.201444075+00:00,1
2025-04-05T16:15:37.201929533+00:00,0
2025-04-05T16:15:37.202312367+00:00,1
2025-04-05T16:15:37.202797200+00:00,0
2025-04-05T16:15:37.203181117+00:00,1
2025-04-05T16:15:37.204536908+00:00,0
2025-04-05T16:15:37.204922117+00:00,1
2025-04-05T16:15:37.205406783+00:00,0
2025-04-05T16:15:37.205790617+00:00,1
2025-04-05T16:15:37.207145783+00:00,0
2025-04-05T16:15:37.207531325+00:00,1
2025-04-05T16:15:37.208016408+00:00,0
2025-04-05T16:15:37.208399825+00:00,1
2025-04-05T16:15:37.209756283+00:00,0
2025-04-05T16:15:37.210140867+00:00,1
2025-04-05T16:15:37.210625700+00:00,0
2025-04-05T16:15:37.211009533+00:00,1
2025-04-05T16:15:37.211493450+00:00,0
2025-04-05T16:15:37.211878158+00:00,1
2025-04-05T16:15:37.213234367+00:00,0
2025-04-05T16:15:37.213619242+00:00,1
2025-04-05T16:15:37.214975367+00:00,0
2025-04-05T16:15:37.215360408+00:00,1
2025-04-05T16:15:37.216716617+00:00,0
2025-04-05T16:15:37.217101408+00:00,1
2025-04-05T16:15:37.217585533+00:00,0
2025-04-05T16:15:37.217969867+00:00,1
2025-04-05T16:15:37.218454742+00:00,0
2025-04-05T16:15:37.218838450+00:00,1
2025-04-05T16:15:37.220194283+00:00,0
2025-04-05T16:15:37.220579658+00:00,1
2025-04-05T16:15:37.221064158+00:00,0
2025-04-05T16:15:37.221448158+00:00,1
2025-04-05T16:15:37.221932783+00:00,0
2025-04-05T16:15:37.222316658+00:00,1
2025-04-05T16:15:37.222801117+00:00,0
2025-04-05T16:15:37.223185158+00:00,1
2025-04-05T16:15:37.223669867+00:00,0
2025-04-05T16:15:37.224053408+00:00,1
2025-04-05T16:15:37.225409283+00:00,0
2025-04-05T16:15:37.225794700+00:00,1
2025-04-05T16:15:37.226278575+00:00,0
2025-04-05T16:15:37.226663367+00:00,1
2025-04-05T16:15:37.228019492+00:00,0
2025-04-05T16:15:37.228404742+00:00,1
2025-04-05T16:15:37.228889033+00:00,0
2025-04-05T16:15:37.229273408+00:00,1
2025-04-05T16:15:37.229757825+00:00,0
2025-04-05T16:15:37.230141992+00:00,1
2025-04-05T16:15:37.230625992+00:00,0
2025-04-05T16:15:37.231010325+00:00,1
2025-04-05T16:15:37.232364867+00:00,0
2025-04-05T16:15:37.232751408+00:00,1
2025-04-05T16:15:37.234108367+00:00,0
2025-04-05T16:15:37.234492242+00:00,1
2025-04-05T16:15:37.234976117+00:00,0
2025-04-05T16:15:37.235360450+00:00,1
2025-04-05T16:15:37.235844408+00:00,0
2025-04-05T16:15:37.236228992+00:00,1
2025-04-05T16:15:37.237584533+00:00,0
2025-04-05T16:15:37.237969867+00:00,1
2025-04-05T16:15:37.312988033+00:00,0
2025-04-05T16:15:37.316424575+00:00,1
2025-04-05T16:15:37.318217492+00:00,0
2025-04-05T16:15:37.318601867+00:00,1
2025-04-05T16:15:37.319085783+00:00,0
2025-04-05T16:15:37.319470492+00:00,1
2025-04-05T16:15:37.319955575+00:00,0
2025-04-05T16:15:37.320339700+00:00,1
2025-04-05T16:15:37.321696033+00:00,0
2025-04-05T16:15:37.322081200+00:00,1
2025-04-05T16:15:37.323437033+00:00,0
2025-04-05T16:15:37.323822533+00:00,1
2025-04-05T16:15:37.324306158+00:00,0
2025-04-05T16:15:37.324691367+00:00,1
2025-04-05T16:15:37.326048075+00:00,0
2025-04-05T16:15:37.326432867+00:00,1
2025-04-05T16:15:37.326917033+00:00,0
2025-04-05T16:15:37.327301992+00:00,1
2025-04-05T16:15:37.327786325+00:00,0
2025-04-05T16:15:37.328170742+00:00,1
2025-04-05T16:15:37.328655450+00:00,0
2025-04-05T16:15:37.329039658+00:00,1
2025-04-05T16:15:37.330394700+00:00,0
2025-04-05T16:15:37.330780950+00:00,1
2025-04-05T16:15:37.331264825+00:00,0
2025-04-05T16:15:37.331649450+00:00,1
2025-04-05T16:15:37.332134783+00:00,0
2025-04-05T16:15:37.332518325+00:00,1
2025-04-05T16:15:37.333873783+00:00,0
2025-04-05T16:15:37.334259992+00:00,1
2025-04-05T16:15:37.334743825+00:00,0
2025-04-05T16:15:37.335128533+00:00,1
2025-04-05T16:15:37.336485825+00:00,0
2025-04-05T16:15:37.336870575+00:00,1
2025-04-05T16:15:37.337355033+00:00,0
2025-04-05T16:15:37.337739867+00:00,1
2025-04-05T16:15:37.339095867+00:00,0
2025-04-05T16:15:37.339481908+00:00,1
2025-04-05T16:15:37.339966033+00:00,0
2025-04-05T16:15:37.340351158+00:00,1
2025-04-05T16:15:37.340835908+00:00,0
2025-04-05T16:15:37.341220408+00:00,1
2025-04-05T16:15:37.342576742+00:00,0
2025-04-05T16:15:37.342962283+00:00,1
2025-04-05T16:15:37.344318867+00:00,0
2025-04-05T16:15:37.344704492+00:00,1
2025-04-05T16:15:37.346060283+00:00,0
2025-04-05T16:15:37.346446242+00:00,1
2025-04-05T16:15:37.346929950+00:00,0
2025-04-05T16:15:37.347315242+00:00,1
2025-04-05T16:15:37.347799867+00:00,0
2025-04-05T16:15:37.348184575+00:00,1
2025-04-05T16:15:37.349541283+00:00,0
2025-04-05T16:15:37.349926533+00:00,1
2025-04-05T16:15:37.350412658+00:00,0
2025-04-05T16:15:37.350795617+00:00,1
2025-04-05T16:15:37.351279492+00:00,0
2025-04-05T16:15:37.351664783+00:00,1
2025-04-05T16:15:37.352147867+00:00,0
2025-04-05T16:15:37.352533700+00:00,1
2025-04-05T16:15:37.353018408+00:00,0
2025-04-05T16:15:37.353402950+00:00,1
2025-04-05T16:15:37.354759575+00:00,0
