Time [s],Channel 0
2025-04-05T16:17:08.671999000+00:00,1
2025-04-05T16:17:09.655954500+00:00,0
2025-04-05T16:17:09.659390208+00:00,1
2025-04-05T16:17:09.661183458+00:00,0
2025-04-05T16:17:09.661567458+00:00,1
2025-04-05T16:17:09.662051958+00:00,0
2025-04-05T16:17:09.662436042+00:00,1
2025-04-05T16:17:09.662920792+00:00,0
2025-04-05T16:17:09.663304792+00:00,1
2025-04-05T16:17:09.664662458+00:00,0
2025-04-05T16:17:09.665046250+00:00,1
2025-04-05T16:17:09.666402375+00:00,0
2025-04-05T16:17:09.666786958+00:00,1
2025-04-05T16:17:09.667271875+00:00,0
2025-04-05T16:17:09.667655542+00:00,1
2025-04-05T16:17:09.669010792+00:00,0
2025-04-05T16:17:09.669396458+00:00,1
2025-04-05T16:17:09.669881333+00:00,0
2025-04-05T16:17:09.670265417+00:00,1
2025-04-05T16:17:09.670749375+00:00,0
2025-04-05T16:17:09.671133750+00:00,1
2025-04-05T16:17:09.671617917+00:00,0
2025-04-05T16:17:09.672002000+00:00,1
2025-04-05T16:17:09.673358417+00:00,0
2025-04-05T16:17:09.673743042+00:00,1
2025-04-05T16:17:09.674226792+00:00,0
2025-04-05T16:17:09.674611417+00:00,1
2025-04-05T16:17:09.675096417+00:00,0
2025-04-05T16:17:09.675480333+00:00,1
2025-04-05T16:17:09.676836792+00:00,0
2025-04-05T16:17:09.677221500+00:00,1
2025-04-05T16:17:09.677706042+00:00,0
2025-04-05T16:17:09.678090125+00:00,1
2025-04-05T16:17:09.679446333+00:00,0
2025-04-05T16:17:09.679831292+00:00,1
2025-04-05T16:17:09.680315750+00:00,0
2025-04-05T16:17:09.680700042+00:00,1
2025-04-05T16:17:09.682056000+00:00,0
2025-04-05T16:17:09.682440958+00:00,1
2025-04-05T16:17:09.682925708+00:00,0
2025-04-05T16:17:09.683309417+00:00,1
2025-04-05T16:17:09.683794167+00:00,0
2025-04-05T16:17:09.684178083+00:00,1
2025-04-05T16:17:09.685533542+00:00,0
2025-04-05T16:17:09.685919375+00:00,1
2025-04-05T16:17:09.686404875+00:00,0
2025-04-05T16:17:09.686788208+00:00,1
2025-04-05T16:17:09.687270833+00:00,0
2025-04-05T16:17:09.687656917+00:00,1
2025-04-05T16:17:09.688141542+00:00,0
2025-04-05T16:17:09.688525750+00:00,1
2025-04-05T16:17:09.689010792+00:00,0
2025-04-05T16:17:09.689394250+00:00,1
2025-04-05T16:17:09.690750375+00:00,0
2025-04-05T16:17:09.691135375+00:00,1
2025-04-05T16:17:09.692490625+00:00,0
2025-04-05T16:17:09.692876792+00:00,1
2025-04-05T16:17:09.693361500+00:00,0
2025-04-05T16:17:09.693745292+00:00,1
2025-04-05T16:17:09.695100958+00:00,0
2025-04-05T16:17:09.695486708+00:00,1
2025-04-05T16:17:09.695970708+00:00,0
2025-04-05T16:17:09.696355042+00:00,1
2025-04-05T16:17:09.697710958+00:00,0
2025-04-05T16:17:09.698096458+00:00,1
2025-04-05T16:17:09.698581500+00:00,0
2025-04-05T16:17:09.698965250+00:00,1
2025-04-05T16:17:09.699449167+00:00,0
2025-04-05T16:17:09.699833875+00:00,1
2025-04-05T16:17:09.700317500+00:00,0
2025-04-05T16:17:09.700702625+00:00,1
2025-04-05T16:17:09.702058167+00:00,0
2025-04-05T16:17:09.702443917+00:00,1
2025-04-05T16:17:09.702927583+00:00,0
2025-04-05T16:17:09.703312750+00:00,1
2025-04-05T16:17:09.703796417+00:00,0
2025-04-05T16:17:09.704181375+00:00,1
2025-04-05T16:17:09.704665792+00:00,0
2025-04-05T16:17:09.705050083+00:00,1
2025-04-05T16:17:09.706405875+00:00,0
2025-04-05T16:17:09.706791375+00:00,1
2025-04-05T16:17:09.707275042+00:00,0
2025-04-05T16:17:09.707660000+00:00,1
2025-04-05T16:17:09.708146208+00:00,0
2025-04-05T16:17:09.708529958+00:00,1
2025-04-05T16:17:09.783548958+00:00,0
2025-04-05T16:17:09.786985583+00:00,1
2025-04-05T16:17:09.788777083+00:00,0
2025-04-05T16:17:09.789162708+00:00,1
2025-04-05T16:17:09.789646250+00:00,0
2025-04-05T16:17:09.790031458+00:00,1
2025-04-05T16:17:09.790515292+00:00,0
2025-04-05T16:17:09.790900167+00:00,1
2025-04-05T16:17:09.792254500+00:00,0
2025-04-05T16:17:09.792641042+00:00,1
2025-04-05T16:17:09.793995708+00:00,0
2025-04-05T16:17:09.794382167+00:00,1
2025-04-05T16:17:09.794865208+00:00,0
2025-04-05T16:17:09.795250958+00:00,1
2025-04-05T16:17:09.796605125+00:00,0
2025-04-05T16:17:09.796992167+00:00,1
2025-04-05T16:17:09.797476375+00:00,0
2025-04-05T16:17:09.797860917+00:00,1
2025-04-05T16:17:09.798344292+00:00,0
2025-04-05T16:17:09.798729500+00:00,1
2025-04-05T16:17:09.799212333+00:00,0
2025-04-05T16:17:09.799598083+00:00,1
2025-04-05T16:17:09.800953083+00:00,0
2025-04-05T16:17:09.801339250+00:00,1
2025-04-05T16:17:09.801822833+00:00,0
2025-04-05T16:17:09.802208000+00:00,1
2025-04-05T16:17:09.802690750+00:00,0
2025-04-05T16:17:09.803076417+00:00,1
2025-04-05T16:17:09.804431167+00:00,0
2025-04-05T16:17:09.804817917+00:00,1
2025-04-05T16:17:09.805301083+00:00,0
2025-04-05T16:17:09.805686583+00:00,1
2025-04-05T16:17:09.807040833+00:00,0
2025-04-05T16:17:09.807427792+00:00,1
2025-04-05T16:17:09.807911375+00:00,0
2025-04-05T16:17:09.808296333+00:00,1
2025-04-05T16:17:09.809652208+00:00,0
2025-04-05T16:17:09.810037667+00:00,1
2025-04-05T16:17:09.810520750+00:00,0
2025-04-05T16:17:09.810906000+00:00,1
2025-04-05T16:17:09.811390000+00:00,0
2025-04-05T16:17:09.811774750+00:00,1
2025-04-05T16:17:09.813129917+00:00,0
2025-04-05T16:17:09.813515958+00:00,1
2025-04-05T16:17:09.813998083+00:00,0
2025-04-05T16:17:09.814384542+00:00,1
2025-04-05T16:17:09.814867208+00:00,0
2025-04-05T16:17:09.815253167+00:00,1
2025-04-05T16:17:09.815736417+00:00,0
2025-04-05T16:17:09.816121833+00:00,1
2025-04-05T16:17:09.816604333+00:00,0
2025-04-05T16:17:09.817060042+00:00,1
2025-04-05T16:17:09.818345458+00:00,0
2025-04-05T16:17:09.818731375+00:00,1
2025-04-05T16:17:09.820086833+00:00,0
2025-04-05T16:17:09.820472750+00:00,1
2025-04-05T16:17:09.820956042+00:00,0
2025-04-05T16:17:09.821412250+00:00,1
2025-04-05T16:17:09.822696083+00:00,0
2025-04-05T16:17:09.823082250+00:00,1
2025-04-05T16:17:09.823564625+00:00,0
2025-04-05T16:17:09.823950833+00:00,1
2025-04-05T16:17:09.825305917+00:00,0
2025-04-05T16:17:09.825763250+00:00,1
2025-04-05T16:17:09.826175958+00:00,0
2025-04-05T16:17:09.826560708+00:00,1
2025-04-05T16:17:09.827044000+00:00,0
2025-04-05T16:17:09.827429042+00:00,1
2025-04-05T16:17:09.827913000+00:00,0
2025-04-05T16:17:09.828297542+00:00,1
2025-04-05T16:17:09.829652833+00:00,0
2025-04-05T16:17:09.830039000+00:00,1
2025-04-05T16:17:09.830522083+00:00,0
2025-04-05T16:17:09.830980333+00:00,1
2025-04-05T16:17:09.831391250+00:00,0
2025-04-05T16:17:09.831776375+00:00,1
2025-04-05T16:17:09.832259042+00:00,0
2025-04-05T16:17:09.832644792+00:00,1
2025-04-05T16:17:09.833999917+00:00,0
2025-04-05T16:17:09.834385833+00:00,1
2025-04-05T16:17:09.834868542+00:00,0
2025-04-05T16:17:09.835254417+00:00,1
2025-04-05T16:17:09.835740083+00:00,0
2025-04-05T16:17:09.836124542+00:00,1
2025-04-05T16:17:09.911138917+00:00,0
2025-04-05T16:17:09.914648833+00:00,1
2025-04-05T16:17:09.916366458+00:00,0
2025-04-05T16:17:09.916753542+00:00,1
2025-04-05T16:17:09.917236708+00:00,0
2025-04-05T16:17:09.917621875+00:00,1
2025-04-05T16:17:09.918105708+00:00,0
2025-04-05T16:17:09.918490417+00:00,1
2025-04-05T16:17:09.919845667+00:00,0
2025-04-05T16:17:09.920231458+00:00,1
2025-04-05T16:17:09.921585708+00:00,0
2025-04-05T16:17:09.921972000+00:00,1
2025-04-05T16:17:09.922456167+00:00,0
2025-04-05T16:17:09.922911292+00:00,1
2025-04-05T16:17:09.924194917+00:00,0
2025-04-05T16:17:09.924581417+00:00,1
2025-04-05T16:17:09.925065083+00:00,0
2025-04-05T16:17:09.925449917+00:00,1
2025-04-05T16:17:09.925934083+00:00,0
2025-04-05T16:17:09.926390750+00:00,1
2025-04-05T16:17:09.926801667+00:00,0
2025-04-05T16:17:09.927187083+00:00,1
2025-04-05T16:17:09.928542125+00:00,0
2025-04-05T16:17:09.928928042+00:00,1
2025-04-05T16:17:09.929411458+00:00,0
2025-04-05T16:17:09.929796708+00:00,1
2025-04-05T16:17:09.930280833+00:00,0
2025-04-05T16:17:09.930665250+00:00,1
2025-04-05T16:17:09.932020250+00:00,0
2025-04-05T16:17:09.932476083+00:00,1
2025-04-05T16:17:09.932889542+00:00,0
2025-04-05T16:17:09.933274542+00:00,1
2025-04-05T16:17:09.934629417+00:00,0
2025-04-05T16:17:09.935015375+00:00,1
2025-04-05T16:17:09.935499125+00:00,0
2025-04-05T16:17:09.935955125+00:00,1
2025-04-05T16:17:09.937238958+00:00,0
2025-04-05T16:17:09.937624833+00:00,1
2025-04-05T16:17:09.938109042+00:00,0
2025-04-05T16:17:09.938493625+00:00,1
2025-04-05T16:17:09.938976375+00:00,0
2025-04-05T16:17:09.939362042+00:00,1
2025-04-05T16:17:09.940717625+00:00,0
2025-04-05T16:17:09.941102958+00:00,1
2025-04-05T16:17:09.941586625+00:00,0
2025-04-05T16:17:09.941971500+00:00,1
2025-04-05T16:17:09.942455542+00:00,0
2025-04-05T16:17:09.942912292+00:00,1
2025-04-05T16:17:09.943323792+00:00,0
2025-04-05T16:17:09.943708292+00:00,1
2025-04-05T16:17:09.944192125+00:00,0
2025-04-05T16:17:09.944648625+00:00,1
2025-04-05T16:17:09.945932333+00:00,0
2025-04-05T16:17:09.946317708+00:00,1
2025-04-05T16:17:09.947672917+00:00,0
2025-04-05T16:17:09.948058625+00:00,1
2025-04-05T16:17:09.948541708+00:00,0
2025-04-05T16:17:09.948927167+00:00,1
2025-04-05T16:17:09.950282542+00:00,0
2025-04-05T16:17:09.950740292+00:00,1
2025-04-05T16:17:09.951151833+00:00,0
2025-04-05T16:17:09.951536417+00:00,1
2025-04-05T16:17:09.952890208+00:00,0
2025-04-05T16:17:09.953277375+00:00,1
2025-04-05T16:17:09.953760583+00:00,0
2025-04-05T16:17:09.954145792+00:00,1
2025-04-05T16:17:09.954629917+00:00,0
2025-04-05T16:17:09.955014292+00:00,1
