Time [s],Channel 0
2025-04-05T16:22:30.435834300+00:00,1
2025-04-05T16:22:31.142533842+00:00,0
2025-04-05T16:22:31.145970258+00:00,1
2025-04-05T16:22:31.147762300+00:00,0
2025-04-05T16:22:31.148147675+00:00,1
2025-04-05T16:22:31.148631758+00:00,0
2025-04-05T16:22:31.149016258+00:00,1
2025-04-05T16:22:31.149499967+00:00,0
2025-04-05T16:22:31.149884883+00:00,1
2025-04-05T16:22:31.151240633+00:00,0
2025-04-05T16:22:31.151625800+00:00,1
2025-04-05T16:22:31.152980758+00:00,0
2025-04-05T16:22:31.153366967+00:00,1
2025-04-05T16:22:31.153850592+00:00,0
2025-04-05T16:22:31.154235592+00:00,1
2025-04-05T16:22:31.155591175+00:00,0
2025-04-05T16:22:31.155976800+00:00,1
2025-04-05T16:22:31.156460133+00:00,0
2025-04-05T16:22:31.156845342+00:00,1
2025-04-05T16:22:31.157329050+00:00,0
2025-04-05T16:22:31.157714050+00:00,1
2025-04-05T16:22:31.158198383+00:00,0
2025-04-05T16:22:31.158582675+00:00,1
2025-04-05T16:22:31.159939133+00:00,0
2025-04-05T16:22:31.160324383+00:00,1
2025-04-05T16:22:31.160808133+00:00,0
2025-04-05T16:22:31.161193133+00:00,1
2025-04-05T16:22:31.161677050+00:00,0
2025-04-05T16:22:31.162061633+00:00,1
2025-04-05T16:22:31.163417633+00:00,0
2025-04-05T16:22:31.163802883+00:00,1
2025-04-05T16:22:31.164287050+00:00,0
2025-04-05T16:22:31.164671758+00:00,1
2025-04-05T16:22:31.166028508+00:00,0
2025-04-05T16:22:31.166412925+00:00,1
2025-04-05T16:22:31.166897383+00:00,0
2025-04-05T16:22:31.167281550+00:00,1
2025-04-05T16:22:31.168638342+00:00,0
2025-04-05T16:22:31.169022633+00:00,1
2025-04-05T16:22:31.169506342+00:00,0
2025-04-05T16:22:31.169891008+00:00,1
2025-04-05T16:22:31.170375008+00:00,0
2025-04-05T16:22:31.170759800+00:00,1
2025-04-05T16:22:31.172115592+00:00,0
2025-04-05T16:22:31.172500842+00:00,1
2025-04-05T16:22:31.172984842+00:00,0
2025-04-05T16:22:31.173369717+00:00,1
2025-04-05T16:22:31.173853842+00:00,0
2025-04-05T16:22:31.174238258+00:00,1
2025-04-05T16:22:31.174722050+00:00,0
2025-04-05T16:22:31.175107008+00:00,1
2025-04-05T16:22:31.175590925+00:00,0
