Time [s],Channel 0
2025-04-05T16:16:54.272775900+00:00,1
2025-04-05T16:16:55.331034983+00:00,0
2025-04-05T16:16:55.334470733+00:00,1
2025-04-05T16:16:55.336262150+00:00,0
2025-04-05T16:16:55.336646858+00:00,1
2025-04-05T16:16:55.337131108+00:00,0
2025-04-05T16:16:55.337515567+00:00,1
2025-04-05T16:16:55.338000567+00:00,0
2025-04-05T16:16:55.338383817+00:00,1
2025-04-05T16:16:55.339739733+00:00,0
2025-04-05T16:16:55.340124400+00:00,1
2025-04-05T16:16:55.341479858+00:00,0
2025-04-05T16:16:55.341865150+00:00,1
2025-04-05T16:16:55.342348983+00:00,0
2025-04-05T16:16:55.342733442+00:00,1
2025-04-05T16:16:55.344088942+00:00,0
2025-04-05T16:16:55.344474192+00:00,1
2025-04-05T16:16:55.344958150+00:00,0
2025-04-05T16:16:55.345342442+00:00,1
2025-04-05T16:16:55.345826858+00:00,0
2025-04-05T16:16:55.346210858+00:00,1
2025-04-05T16:16:55.346694442+00:00,0
2025-04-05T16:16:55.347079233+00:00,1
2025-04-05T16:16:55.348434608+00:00,0
2025-04-05T16:16:55.348819942+00:00,1
2025-04-05T16:16:55.349303400+00:00,0
2025-04-05T16:16:55.349688483+00:00,1
2025-04-05T16:16:55.350172567+00:00,0
2025-04-05T16:16:55.350556733+00:00,1
2025-04-05T16:16:55.351912108+00:00,0
2025-04-05T16:16:55.352296900+00:00,1
2025-04-05T16:16:55.352780858+00:00,0
2025-04-05T16:16:55.353165275+00:00,1
2025-04-05T16:16:55.354521317+00:00,0
2025-04-05T16:16:55.354905817+00:00,1
2025-04-05T16:16:55.355389650+00:00,0
2025-04-05T16:16:55.355774150+00:00,1
2025-04-05T16:16:55.357129692+00:00,0
2025-04-05T16:16:55.357514733+00:00,1
2025-04-05T16:16:55.357998567+00:00,0
2025-04-05T16:16:55.358382983+00:00,1
2025-04-05T16:16:55.358866650+00:00,0
2025-04-05T16:16:55.359251567+00:00,1
2025-04-05T16:16:55.360607858+00:00,0
2025-04-05T16:16:55.360992108+00:00,1
2025-04-05T16:16:55.361476025+00:00,0
2025-04-05T16:16:55.361860400+00:00,1
2025-04-05T16:16:55.362342567+00:00,0
2025-04-05T16:16:55.362728817+00:00,1
2025-04-05T16:16:55.363213067+00:00,0
2025-04-05T16:16:55.363597025+00:00,1
2025-04-05T16:16:55.364080525+00:00,0
2025-04-05T16:16:55.364465275+00:00,1
2025-04-05T16:16:55.364949108+00:00,0
2025-04-05T16:16:55.365333692+00:00,1
2025-04-05T16:16:55.366688942+00:00,0
2025-04-05T16:16:55.367074150+00:00,1
2025-04-05T16:16:55.367557483+00:00,0
2025-04-05T16:16:55.367942400+00:00,1
2025-04-05T16:16:55.369297233+00:00,0
2025-04-05T16:16:55.369682858+00:00,1
2025-04-05T16:16:55.370165692+00:00,0
2025-04-05T16:16:55.370551192+00:00,1
2025-04-05T16:16:55.371905817+00:00,0
2025-04-05T16:16:55.372291567+00:00,1
2025-04-05T16:16:55.372775442+00:00,0
2025-04-05T16:16:55.373159900+00:00,1
2025-04-05T16:16:55.373643108+00:00,0
2025-04-05T16:16:55.374028025+00:00,1
2025-04-05T16:16:55.375383567+00:00,0
2025-04-05T16:16:55.375768692+00:00,1
2025-04-05T16:16:55.377122692+00:00,0
2025-04-05T16:16:55.377509233+00:00,1
2025-04-05T16:16:55.377992775+00:00,0
2025-04-05T16:16:55.378377775+00:00,1
2025-04-05T16:16:55.378861150+00:00,0
2025-04-05T16:16:55.379245817+00:00,1
2025-04-05T16:16:55.379729108+00:00,0
2025-04-05T16:16:55.380114067+00:00,1
2025-04-05T16:16:55.381468942+00:00,0
2025-04-05T16:16:55.381854650+00:00,1
2025-04-05T16:16:55.382338567+00:00,0
2025-04-05T16:16:55.382723025+00:00,1
2025-04-05T16:16:55.383207692+00:00,0
2025-04-05T16:16:55.383592567+00:00,1
2025-04-05T16:16:55.458597733+00:00,0
2025-04-05T16:16:55.462107858+00:00,1
2025-04-05T16:16:55.463824275+00:00,0
2025-04-05T16:16:55.464282483+00:00,1
2025-04-05T16:16:55.464693942+00:00,0
2025-04-05T16:16:55.465152983+00:00,1
2025-04-05T16:16:55.465562483+00:00,0
2025-04-05T16:16:55.466021317+00:00,1
2025-04-05T16:16:55.467301650+00:00,0
2025-04-05T16:16:55.467763108+00:00,1
2025-04-05T16:16:55.469043108+00:00,0
2025-04-05T16:16:55.469429108+00:00,1
2025-04-05T16:16:55.469912567+00:00,0
2025-04-05T16:16:55.470368733+00:00,1
2025-04-05T16:16:55.471652150+00:00,0
2025-04-05T16:16:55.472111400+00:00,1
2025-04-05T16:16:55.472520983+00:00,0
2025-04-05T16:16:55.472983025+00:00,1
2025-04-05T16:16:55.473388900+00:00,0
2025-04-05T16:16:55.473850983+00:00,1
2025-04-05T16:16:55.474258150+00:00,0
2025-04-05T16:16:55.474716442+00:00,1
2025-04-05T16:16:55.475997817+00:00,0
2025-04-05T16:16:55.476460233+00:00,1
2025-04-05T16:16:55.476867233+00:00,0
2025-04-05T16:16:55.477329150+00:00,1
2025-04-05T16:16:55.477737483+00:00,0
2025-04-05T16:16:55.478196150+00:00,1
2025-04-05T16:16:55.479476317+00:00,0
2025-04-05T16:16:55.479935775+00:00,1
2025-04-05T16:16:55.480344775+00:00,0
2025-04-05T16:16:55.480806650+00:00,1
2025-04-05T16:16:55.482084317+00:00,0
2025-04-05T16:16:55.482546025+00:00,1
2025-04-05T16:16:55.482954733+00:00,0
2025-04-05T16:16:55.483415942+00:00,1
2025-04-05T16:16:55.484693442+00:00,0
2025-04-05T16:16:55.485155900+00:00,1
2025-04-05T16:16:55.485563025+00:00,0
2025-04-05T16:16:55.486024650+00:00,1
2025-04-05T16:16:55.486432233+00:00,0
2025-04-05T16:16:55.486893358+00:00,1
2025-04-05T16:16:55.488171650+00:00,0
2025-04-05T16:16:55.488633608+00:00,1
2025-04-05T16:16:55.489041192+00:00,0
2025-04-05T16:16:55.489502733+00:00,1
2025-04-05T16:16:55.489909317+00:00,0
2025-04-05T16:16:55.490370900+00:00,1
2025-04-05T16:16:55.490779025+00:00,0
2025-04-05T16:16:55.491237775+00:00,1
2025-04-05T16:16:55.491646442+00:00,0
2025-04-05T16:16:55.492106733+00:00,1
2025-04-05T16:16:55.492515150+00:00,0
2025-04-05T16:16:55.492976817+00:00,1
2025-04-05T16:16:55.494254858+00:00,0
2025-04-05T16:16:55.494717275+00:00,1
2025-04-05T16:16:55.495123692+00:00,0
2025-04-05T16:16:55.495584858+00:00,1
2025-04-05T16:16:55.496864358+00:00,0
2025-04-05T16:16:55.497325192+00:00,1
2025-04-05T16:16:55.497733067+00:00,0
2025-04-05T16:16:55.498195150+00:00,1
2025-04-05T16:16:55.499472983+00:00,0
2025-04-05T16:16:55.499934233+00:00,1
2025-04-05T16:16:55.500343025+00:00,0
2025-04-05T16:16:55.500801567+00:00,1
2025-04-05T16:16:55.501211108+00:00,0
2025-04-05T16:16:55.501670525+00:00,1
2025-04-05T16:16:55.502950067+00:00,0
2025-04-05T16:16:55.503411192+00:00,1
2025-04-05T16:16:55.504690733+00:00,0
2025-04-05T16:16:55.505152775+00:00,1
2025-04-05T16:16:55.505560442+00:00,0
2025-04-05T16:16:55.506021608+00:00,1
2025-04-05T16:16:55.506428858+00:00,0
2025-04-05T16:16:55.506890567+00:00,1
2025-04-05T16:16:55.507297817+00:00,0
2025-04-05T16:16:55.507759192+00:00,1
2025-04-05T16:16:55.509037483+00:00,0
2025-04-05T16:16:55.509500442+00:00,1
2025-04-05T16:16:55.509907233+00:00,0
2025-04-05T16:16:55.510368358+00:00,1
2025-04-05T16:16:55.510777442+00:00,0
2025-04-05T16:16:55.511238817+00:00,1
2025-04-05T16:16:55.586164692+00:00,0
2025-04-05T16:16:55.589677233+00:00,1
2025-04-05T16:16:55.591392108+00:00,0
2025-04-05T16:16:55.591855025+00:00,1
2025-04-05T16:16:55.592261567+00:00,0
2025-04-05T16:16:55.592722858+00:00,1
2025-04-05T16:16:55.593129275+00:00,0
2025-04-05T16:16:55.593591108+00:00,1
2025-04-05T16:16:55.594869108+00:00,0
2025-04-05T16:16:55.595332067+00:00,1
2025-04-05T16:16:55.596609733+00:00,0
2025-04-05T16:16:55.597072567+00:00,1
2025-04-05T16:16:55.597479442+00:00,0
2025-04-05T16:16:55.597940858+00:00,1
2025-04-05T16:16:55.599218733+00:00,0
2025-04-05T16:16:55.599681317+00:00,1
2025-04-05T16:16:55.600089192+00:00,0
2025-04-05T16:16:55.600551400+00:00,1
2025-04-05T16:16:55.600957817+00:00,0
2025-04-05T16:16:55.601419233+00:00,1
2025-04-05T16:16:55.601826608+00:00,0
2025-04-05T16:16:55.602288275+00:00,1
2025-04-05T16:16:55.603565692+00:00,0
2025-04-05T16:16:55.604027983+00:00,1
2025-04-05T16:16:55.604436275+00:00,0
2025-04-05T16:16:55.604897067+00:00,1
2025-04-05T16:16:55.605303692+00:00,0
2025-04-05T16:16:55.605763150+00:00,1
2025-04-05T16:16:55.607043817+00:00,0
2025-04-05T16:16:55.607503858+00:00,1
2025-04-05T16:16:55.607913233+00:00,0
2025-04-05T16:16:55.608375067+00:00,1
2025-04-05T16:16:55.609652900+00:00,0
2025-04-05T16:16:55.610116108+00:00,1
2025-04-05T16:16:55.610523108+00:00,0
2025-04-05T16:16:55.610984067+00:00,1
2025-04-05T16:16:55.612262733+00:00,0
2025-04-05T16:16:55.612725942+00:00,1
2025-04-05T16:16:55.613131983+00:00,0
2025-04-05T16:16:55.613593692+00:00,1
2025-04-05T16:16:55.613999650+00:00,0
2025-04-05T16:16:55.614462608+00:00,1
2025-04-05T16:16:55.615740317+00:00,0
2025-04-05T16:16:55.616203317+00:00,1
2025-04-05T16:16:55.616609067+00:00,0
2025-04-05T16:16:55.617070567+00:00,1
2025-04-05T16:16:55.617478317+00:00,0
2025-04-05T16:16:55.617939942+00:00,1
2025-04-05T16:16:55.618346900+00:00,0
2025-04-05T16:16:55.618807358+00:00,1
2025-04-05T16:16:55.619215525+00:00,0
2025-04-05T16:16:55.619677442+00:00,1
2025-04-05T16:16:55.620084692+00:00,0
2025-04-05T16:16:55.620545983+00:00,1
2025-04-05T16:16:55.621824858+00:00,0
2025-04-05T16:16:55.622284983+00:00,1
2025-04-05T16:16:55.622695400+00:00,0
2025-04-05T16:16:55.623155358+00:00,1
2025-04-05T16:16:55.624434525+00:00,0
2025-04-05T16:16:55.624896025+00:00,1
2025-04-05T16:16:55.625302692+00:00,0
2025-04-05T16:16:55.625763317+00:00,1
2025-04-05T16:16:55.627043775+00:00,0
2025-04-05T16:16:55.627503733+00:00,1
2025-04-05T16:16:55.627912400+00:00,0
